CERES - EBAFTOA42 Data
Parameter: Incoming Solar Flux (W m-2)
Time Range: March - 2023
Time Resolution: MON
Selected Region: [-90,0 to 90,360]
Valid Range: 0 - 800
Satellite: -

Latitude  Longitude  Data
-89.5     0.5     60.66
-89.5     1.5     60.66
-89.5     2.5     60.66
-89.5     3.5     60.66
-89.5     4.5     60.66
-89.5     5.5     60.66
-89.5     6.5     60.66
-89.5     7.5     60.66
-89.5     8.5     60.66
-89.5     9.5     60.66
-89.5     10.5     60.66
-89.5     11.5     60.66
-89.5     12.5     60.66
-89.5     13.5     60.66
-89.5     14.5     60.66
-89.5     15.5     60.66
-89.5     16.5     60.66
-89.5     17.5     60.66
-89.5     18.5     60.66
-89.5     19.5     60.66
-89.5     20.5     60.66
-89.5     21.5     60.66
-89.5     22.5     60.66
-89.5     23.5     60.66
-89.5     24.5     60.66
-89.5     25.5     60.66
-89.5     26.5     60.66
-89.5     27.5     60.66
-89.5     28.5     60.66
-89.5     29.5     60.66
-89.5     30.5     60.66
-89.5     31.5     60.66
-89.5     32.5     60.66
-89.5     33.5     60.66
-89.5     34.5     60.66
-89.5     35.5     60.66
-89.5     36.5     60.66
-89.5     37.5     60.66
-89.5     38.5     60.66
-89.5     39.5     60.66
-89.5     40.5     60.66
-89.5     41.5     60.66
-89.5     42.5     60.66
-89.5     43.5     60.66
-89.5     44.5     60.66
-89.5     45.5     60.66
-89.5     46.5     60.66
-89.5     47.5     60.66
-89.5     48.5     60.66
-89.5     49.5     60.66
-89.5     50.5     60.66
-89.5     51.5     60.66
-89.5     52.5     60.66
-89.5     53.5     60.66
-89.5     54.5     60.66
-89.5     55.5     60.66
-89.5     56.5     60.66
-89.5     57.5     60.66
-89.5     58.5     60.66
-89.5     59.5     60.66
-89.5     60.5     60.66
-89.5     61.5     60.66
-89.5     62.5     60.66
-89.5     63.5     60.66
-89.5     64.5     60.66
-89.5     65.5     60.66
-89.5     66.5     60.66
-89.5     67.5     60.66
-89.5     68.5     60.66
-89.5     69.5     60.66
-89.5     70.5     60.66
-89.5     71.5     60.66
-89.5     72.5     60.66
-89.5     73.5     60.66
-89.5     74.5     60.66
-89.5     75.5     60.66
-89.5     76.5     60.66
-89.5     77.5     60.66
-89.5     78.5     60.66
-89.5     79.5     60.66
-89.5     80.5     60.66
-89.5     81.5     60.66
-89.5     82.5     60.66
-89.5     83.5     60.66
-89.5     84.5     60.66
-89.5     85.5     60.66
-89.5     86.5     60.66
-89.5     87.5     60.66
-89.5     88.5     60.66
-89.5     89.5     60.66
-89.5     90.5     60.66
-89.5     91.5     60.66
-89.5     92.5     60.66
-89.5     93.5     60.66
-89.5     94.5     60.66
-89.5     95.5     60.66
-89.5     96.5     60.66
-89.5     97.5     60.66
-89.5     98.5     60.66
-89.5     99.5     60.66
-89.5     100.5     60.66
-89.5     101.5     60.66
-89.5     102.5     60.66
-89.5     103.5     60.66
-89.5     104.5     60.66
-89.5     105.5     60.66
-89.5     106.5     60.66
-89.5     107.5     60.66
-89.5     108.5     60.66
-89.5     109.5     60.66
-89.5     110.5     60.66
-89.5     111.5     60.66
-89.5     112.5     60.66
-89.5     113.5     60.66
-89.5     114.5     60.66
-89.5     115.5     60.66
-89.5     116.5     60.66
-89.5     117.5     60.66
-89.5     118.5     60.66
-89.5     119.5     60.66
-89.5     120.5     60.66
-89.5     121.5     60.66
-89.5     122.5     60.66
-89.5     123.5     60.66
-89.5     124.5     60.66
-89.5     125.5     60.66
-89.5     126.5     60.66
-89.5     127.5     60.66
-89.5     128.5     60.66
-89.5     129.5     60.66
-89.5     130.5     60.66
-89.5     131.5     60.66
-89.5     132.5     60.66
-89.5     133.5     60.66
-89.5     134.5     60.66
-89.5     135.5     60.66
-89.5     136.5     60.66
-89.5     137.5     60.66
-89.5     138.5     60.66
-89.5     139.5     60.66
-89.5     140.5     60.66
-89.5     141.5     60.66
-89.5     142.5     60.66
-89.5     143.5     60.66
-89.5     144.5     60.66
-89.5     145.5     60.66
-89.5     146.5     60.66
-89.5     147.5     60.66
-89.5     148.5     60.66
-89.5     149.5     60.66
-89.5     150.5     60.66
-89.5     151.5     60.66
-89.5     152.5     60.66
-89.5     153.5     60.66
-89.5     154.5     60.66
-89.5     155.5     60.66
-89.5     156.5     60.66
-89.5     157.5     60.66
-89.5     158.5     60.66
-89.5     159.5     60.66
-89.5     160.5     60.66
-89.5     161.5     60.66
-89.5     162.5     60.66
-89.5     163.5     60.66
-89.5     164.5     60.66
-89.5     165.5     60.66
-89.5     166.5     60.66
-89.5     167.5     60.66
-89.5     168.5     60.66
-89.5     169.5     60.66
-89.5     170.5     60.66
-89.5     171.5     60.66
-89.5     172.5     60.66
-89.5     173.5     60.66
-89.5     174.5     60.66
-89.5     175.5     60.66
-89.5     176.5     60.66
-89.5     177.5     60.66
-89.5     178.5     60.66
-89.5     179.5     60.66
-89.5     180.5     60.66
-89.5     181.5     60.66
-89.5     182.5     60.66
-89.5     183.5     60.66
-89.5     184.5     60.66
-89.5     185.5     60.66
-89.5     186.5     60.66
-89.5     187.5     60.66
-89.5     188.5     60.66
-89.5     189.5     60.66
-89.5     190.5     60.66
-89.5     191.5     60.66
-89.5     192.5     60.66
-89.5     193.5     60.66
-89.5     194.5     60.66
-89.5     195.5     60.66
-89.5     196.5     60.66
-89.5     197.5     60.66
-89.5     198.5     60.66
-89.5     199.5     60.66
-89.5     200.5     60.66
-89.5     201.5     60.66
-89.5     202.5     60.66
-89.5     203.5     60.66
-89.5     204.5     60.66
-89.5     205.5     60.66
-89.5     206.5     60.66
-89.5     207.5     60.66
-89.5     208.5     60.66
-89.5     209.5     60.66
-89.5     210.5     60.66
-89.5     211.5     60.66
-89.5     212.5     60.66
-89.5     213.5     60.66
-89.5     214.5     60.66
-89.5     215.5     60.66
-89.5     216.5     60.66
-89.5     217.5     60.66
-89.5     218.5     60.66
-89.5     219.5     60.66
-89.5     220.5     60.66
-89.5     221.5     60.66
-89.5     222.5     60.66
-89.5     223.5     60.66
-89.5     224.5     60.66
-89.5     225.5     60.66
-89.5     226.5     60.66
-89.5     227.5     60.66
-89.5     228.5     60.66
-89.5     229.5     60.66
-89.5     230.5     60.66
-89.5     231.5     60.66
-89.5     232.5     60.66
