CERES - SYN1degEd41 Data
Parameter: Observed TOA Albedo - All-sky (dimensionless)
Time Range: June - 2023
Time Resolution: MON
Selected Region: [-90,0 to 90,360]
Valid Range: 0 - 1
Satellite: TERRA-AQUA

Latitude  Longitude  Data
-89.5     0.5     -999.0
-89.5     1.5     -999.0
-89.5     2.5     -999.0
-89.5     3.5     -999.0
-89.5     4.5     -999.0
-89.5     5.5     -999.0
-89.5     6.5     -999.0
-89.5     7.5     -999.0
-89.5     8.5     -999.0
-89.5     9.5     -999.0
-89.5     10.5     -999.0
-89.5     11.5     -999.0
-89.5     12.5     -999.0
-89.5     13.5     -999.0
-89.5     14.5     -999.0
-89.5     15.5     -999.0
-89.5     16.5     -999.0
-89.5     17.5     -999.0
-89.5     18.5     -999.0
-89.5     19.5     -999.0
-89.5     20.5     -999.0
-89.5     21.5     -999.0
-89.5     22.5     -999.0
-89.5     23.5     -999.0
-89.5     24.5     -999.0
-89.5     25.5     -999.0
-89.5     26.5     -999.0
-89.5     27.5     -999.0
-89.5     28.5     -999.0
-89.5     29.5     -999.0
-89.5     30.5     -999.0
-89.5     31.5     -999.0
-89.5     32.5     -999.0
-89.5     33.5     -999.0
-89.5     34.5     -999.0
-89.5     35.5     -999.0
-89.5     36.5     -999.0
-89.5     37.5     -999.0
-89.5     38.5     -999.0
-89.5     39.5     -999.0
-89.5     40.5     -999.0
-89.5     41.5     -999.0
-89.5     42.5     -999.0
-89.5     43.5     -999.0
-89.5     44.5     -999.0
-89.5     45.5     -999.0
-89.5     46.5     -999.0
-89.5     47.5     -999.0
-89.5     48.5     -999.0
-89.5     49.5     -999.0
-89.5     50.5     -999.0
-89.5     51.5     -999.0
-89.5     52.5     -999.0
-89.5     53.5     -999.0
-89.5     54.5     -999.0
-89.5     55.5     -999.0
-89.5     56.5     -999.0
-89.5     57.5     -999.0
-89.5     58.5     -999.0
-89.5     59.5     -999.0
-89.5     60.5     -999.0
-89.5     61.5     -999.0
-89.5     62.5     -999.0
-89.5     63.5     -999.0
-89.5     64.5     -999.0
-89.5     65.5     -999.0
-89.5     66.5     -999.0
-89.5     67.5     -999.0
-89.5     68.5     -999.0
-89.5     69.5     -999.0
-89.5     70.5     -999.0
-89.5     71.5     -999.0
-89.5     72.5     -999.0
-89.5     73.5     -999.0
-89.5     74.5     -999.0
-89.5     75.5     -999.0
-89.5     76.5     -999.0
-89.5     77.5     -999.0
-89.5     78.5     -999.0
-89.5     79.5     -999.0
-89.5     80.5     -999.0
-89.5     81.5     -999.0
-89.5     82.5     -999.0
-89.5     83.5     -999.0
-89.5     84.5     -999.0
-89.5     85.5     -999.0
-89.5     86.5     -999.0
-89.5     87.5     -999.0
-89.5     88.5     -999.0
-89.5     89.5     -999.0
-89.5     90.5     -999.0
-89.5     91.5     -999.0
-89.5     92.5     -999.0
-89.5     93.5     -999.0
-89.5     94.5     -999.0
-89.5     95.5     -999.0
-89.5     96.5     -999.0
-89.5     97.5     -999.0
-89.5     98.5     -999.0
-89.5     99.5     -999.0
-89.5     100.5     -999.0
-89.5     101.5     -999.0
-89.5     102.5     -999.0
-89.5     103.5     -999.0
-89.5     104.5     -999.0
-89.5     105.5     -999.0
-89.5     106.5     -999.0
-89.5     107.5     -999.0
-89.5     108.5     -999.0
-89.5     109.5     -999.0
-89.5     110.5     -999.0
-89.5     111.5     -999.0
-89.5     112.5     -999.0
-89.5     113.5     -999.0
-89.5     114.5     -999.0
-89.5     115.5     -999.0
-89.5     116.5     -999.0
-89.5     117.5     -999.0
-89.5     118.5     -999.0
-89.5     119.5     -999.0
-89.5     120.5     -999.0
-89.5     121.5     -999.0
-89.5     122.5     -999.0
-89.5     123.5     -999.0
-89.5     124.5     -999.0
-89.5     125.5     -999.0
-89.5     126.5     -999.0
-89.5     127.5     -999.0
-89.5     128.5     -999.0
-89.5     129.5     -999.0
-89.5     130.5     -999.0
-89.5     131.5     -999.0
-89.5     132.5     -999.0
-89.5     133.5     -999.0
-89.5     134.5     -999.0
-89.5     135.5     -999.0
-89.5     136.5     -999.0
-89.5     137.5     -999.0
-89.5     138.5     -999.0
-89.5     139.5     -999.0
-89.5     140.5     -999.0
-89.5     141.5     -999.0
-89.5     142.5     -999.0
-89.5     143.5     -999.0
-89.5     144.5     -999.0
-89.5     145.5     -999.0
-89.5     146.5     -999.0
-89.5     147.5     -999.0
-89.5     148.5     -999.0
-89.5     149.5     -999.0
-89.5     150.5     -999.0
-89.5     151.5     -999.0
-89.5     152.5     -999.0
-89.5     153.5     -999.0
-89.5     154.5     -999.0
-89.5     155.5     -999.0
-89.5     156.5     -999.0
-89.5     157.5     -999.0
-89.5     158.5     -999.0
-89.5     159.5     -999.0
-89.5     160.5     -999.0
-89.5     161.5     -999.0
-89.5     162.5     -999.0
-89.5     163.5     -999.0
-89.5     164.5     -999.0
-89.5     165.5     -999.0
-89.5     166.5     -999.0
-89.5     167.5     -999.0
-89.5     168.5     -999.0
-89.5     169.5     -999.0
-89.5     170.5     -999.0
-89.5     171.5     -999.0
-89.5     172.5     -999.0
-89.5     173.5     -999.0
-89.5     174.5     -999.0
-89.5     175.5     -999.0
-89.5     176.5     -999.0
-89.5     177.5     -999.0
-89.5     178.5     -999.0
-89.5     179.5     -999.0
-89.5     180.5     -999.0
-89.5     181.5     -999.0
-89.5     182.5     -999.0
-89.5     183.5     -999.0
-89.5     184.5     -999.0
-89.5     185.5     -999.0
-89.5     186.5     -999.0
-89.5     187.5     -999.0
-89.5     188.5     -999.0
-89.5     189.5     -999.0
-89.5     190.5     -999.0
-89.5     191.5     -999.0
-89.5     192.5     -999.0
-89.5     193.5     -999.0
-89.5     194.5     -999.0
-89.5     195.5     -999.0
-89.5     196.5     -999.0
-89.5     197.5     -999.0
-89.5     198.5     -999.0
-89.5     199.5     -999.0
-89.5     200.5     -999.0
-89.5     201.5     -999.0
-89.5     202.5     -999.0
-89.5     203.5     -999.0
-89.5     204.5     -999.0
-89.5     205.5     -999.0
-89.5     206.5     -999.0
-89.5     207.5     -999.0
-89.5     208.5     -999.0
-89.5     209.5     -999.0
-89.5     210.5     -999.0
